                    .;Veränderung zum Vortag;Füllstand
17.08.2026;;50,06
18.08.2026;0,08;50,14
19.08.2026;0,05;50,19
20.08.2026;0,06;50,25
21.08.2026;0,18;50,43
22.08.2026;0,28;50,71
23.08.2026;0,30;51,01
24.08.2026;0,24;51,25
25.08.2026;0,22;51,47
26.08.2026;0,19;51,66
27.08.2026;0,29;51,95
28.08.2026;0,30;52,25
29.08.2026;0,38;52,63
30.08.2026;0,40;53,03
31.08.2026;0,28;53,31
01.09.2026;0,24;53,55
02.09.2026;0,12;53,67
03.09.2026;0,13;53,80
04.09.2026;0,24;54,04
05.09.2026;0,12;54,16
06.09.2026;0,36;54,52
07.09.2026;0,25;54,77
08.09.2026;0,23;55,00
09.09.2026;0,16;55,16
10.09.2026;0,13;55,29
11.09.2026;0,10;55,39
12.09.2026;0,22;55,61
13.09.2026;0,20;55,81
14.09.2026;0,12;55,93
15.09.2026;0,03;55,96
16.09.2026;0,06;56,02